Site,Station,Depth,Temperature,OxygenMgL,OxygenPerSat,Fluorescence,Salinity
Breaksea_Sound1_0,1,0,13.1617,96.233,8.23425,1.8712,32.90705
Breaksea_Sound1_10,1,10,12.77016667,94.18233333,8.057066667,1.0931,34.20053333
Breaksea_Sound2_0,2,0,12.8081,94.081,8.0508,1.4286,34.075
Breaksea_Sound2_10,2,10,12.7522,92.285,7.886633333,1.162866667,34.40533333
Breaksea_Sound3_0,3,0,12.889,88.998,7.6389,-2.2273,33.5049
Breaksea_Sound3_10,3,10,12.7489,87.93866667,7.513833333,-2.2273,34.44486667
Breaksea_Sound4_0,4,0,12.801,77.5805,6.622,-2.2273,34.43205
Breaksea_Sound4_10,4,10,12.78986667,92.98166667,7.9363,1.3574,34.47626667
Chalky_Inlet1_0,1,0,11.9631,89.6,7.79455,0.3582,34.22715
Chalky_Inlet1_10,1,10,11.96746667,89.66966667,7.783233333,0.5177,34.5313
Chalky_Inlet2_0,2,0,12.2548,83.708,7.23695,-2.2273,34.2061
Chalky_Inlet2_10,2,10,12.15573333,90.57133333,7.834566667,1.1747,34.44306667
Chalky_Inlet3_0,3,0,12.2971,82.199,7.1044,-2.2273,34.226
Chalky_Inlet3_10,3,10,12.0882,91.003,7.881033333,0.6431,34.48673333
Chalky_Inlet4_0,4,0,12.40435,75.8275,6.5309,-2.2273,34.3534
Chalky_Inlet4_10,4,10,12.3958,94.98633333,8.175833333,0.774666667,34.47163333
Chalky_Inlet5_0,5,0,12.38415,85.9725,7.4027,-2.2273,34.4239
Chalky_Inlet5_10,5,10,12.3847,89.84133333,7.735433333,-2.2273,34.4261
Doubtful_Sound1_0,1,0,12.52845,71.9675,6.74445,-2.2273,22.28135
Doubtful_Sound1_10,1,10,12.60456667,92.28333333,7.915266667,-2.228166667,34.35766667
Doubtful_Sound2_0,2,0,12.80285,73.8765,6.92245,-2.2273,24.1658
Doubtful_Sound2_10,2,10,12.5705,87.78166667,7.537733333,-2.2273,34.29916667
Doubtful_Sound3_0,3,0,12.79365,79.0115,7.09985,-2.2273,27.54105
Doubtful_Sound3_10,3,10,12.6312,88.711,7.6129,-2.2273,34.21193333
Doubtful_Sound4_0,4,0,12.2666,95.688,8.7357,-2.22765,28.8658
Doubtful_Sound4_10,4,10,12.69015,92.9145,7.9728,0.85785,34.0254
Doubtful_Sound5_0,5,0,10.80445,68.776,7.47515,-2.2273,3.05075
Doubtful_Sound5_10,5,10,12.64343333,89.31633333,7.736866667,-2.2273,32.94763333
Dusky_Sound1_0,1,0,12.91395,87.647,7.71205,-2.2273,29.4846
Dusky_Sound1_10,1,10,12.70663333,92.95033333,7.996166667,-2.227,33.59753333
Dusky_Sound2_0,2,0,13.0153,93.544,8.20435,1.34275,30.6317
Dusky_Sound2_10,2,10,12.89223333,94.61,8.0944,0.5412,33.8057
Dusky_Sound3_0,3,0,12.9168,84.357,7.4398,-2.2273,29.7809
Dusky_Sound3_10,3,10,12.6996,90.59933333,7.7712,-2.2273,34.06103333
Dusky_Sound4_0,4,0,12.9766,79.2205,6.9794,-2.2273,30.30405
Dusky_Sound4_10,4,10,12.82013333,88.64,7.609466667,-2.2273,33.642
Wet_Jacket1_0,1,0,12.74475,93.101,8.29425,1.88395,27.8101
Wet_Jacket1_10,1,10,12.81943333,91.851,7.862566667,0.962066667,34.00076667
Wet_Jacket2_0,2,0,13.16015,67.4325,5.87915,-2.2273,31.9461
Wet_Jacket2_10,2,10,12.7344,94.531,8.091266667,-2.2271,34.2319
Wet_Jacket3_0,3,0,12.80895,66.2725,6.168366667,-2.2273,30.7827
Wet_Jacket3_10,3,10,12.72083333,89.235,7.648533333,-2.2273,34.0647
