,Depth,Temperature,OxygenPerSat,Salinity,In_out
Bin0,0,12.9849,8.142525,33.491025,in
Bin10,10,12.761185,7.97185,34.30293333,in
Bout0,0,12.845,83.28925,33.968475,out
Bout10,10,12.76938334,90.46017,34.46056667,out
Cin0,0,12.17066667,85.169,34.21975,in
Cin10,10,12.07046667,7.832944333,34.48703333,in
Cout0,0,12.39425,6.9668,34.38865,out
Cout10,10,12.39025,7.955633,34.44886667,out
Doin0,0,12.70831667,6.92225,24.66273333,in
Doin10,10,12.60209,7.688633333,34.28958889,in
Doout0,0,11.535525,8.105425,28.8658,out
Doout10,10,12.66679,7.8548335,33.48651667,out
Duin0,0,12.964625,7.9582,30.05815,in
Duin10,10,12.79943,8.0452835,33.70161667,in
Duout0,0,12.9467,7.2096,30.042475,out
Duout10,10,12.759865,7.6903335,33.85151667,out
Win0,0,12.95245,7.0867,29.8781,in
Win10,10,12.776915,7.976917,34.11633334,in
Wout0,0,12.80895,66.2725,30.7827,out
Wout10,10,12.72083,89.235,34.0647,out
