"","Var1","Var2","value"
"1","Bin0","Bin0",0
"2","Bin10","Bin0",0.0936555330459563
"3","Bout0","Bin0",0.515540184670737
"4","Bout10","Bin0",0.482472081181807
"5","Cin0","Bin0",0.521473249382784
"6","Cin10","Bin0",0.102681588594606
"7","Cout0","Bin0",0.024582868674975
"8","Cout10","Bin0",0.0983089281791455
"9","Doin0","Bin0",0.104387496935399
"10","Doin10","Bin0",0.0976123018394474
"11","Doout0","Bin0",0.0592648547590695
"12","Doout10","Bin0",0.0894429302468755
"13","Duin0","Bin0",0.034445973545784
"14","Duin10","Bin0",0.0880570849459907
"15","Duout0","Bin0",0.0421655410167556
"16","Duout10","Bin0",0.0928162028216261
"17","Win0","Bin0",0.0449721961014275
"18","Win10","Bin0",0.0920497848996163
"19","Wout0","Bin0",0.370946531730408
"20","Wout10","Bin0",0.458187237594609
"21","Bin0","Bin10",0.0936555330459563
"22","Bin10","Bin10",0
"23","Bout0","Bin10",0.539859835698464
"24","Bout10","Bin10",0.406784524171305
"25","Cin0","Bin10",0.542451788653357
"26","Cin10","Bin10",0.00783243525136967
"27","Cout0","Bin10",0.0964569365234298
"28","Cout10","Bin10",0.00410600317253116
"29","Doin0","Bin10",0.189726581425481
"30","Doin10","Bin10",0.00351542341020722
"31","Doout0","Bin10",0.147929947222006
"32","Doout10","Bin10",0.0079649367332411
"33","Duin0","Bin10",0.124653114578829
"34","Duin10","Bin10",0.00550225739358993
"35","Duout0","Bin10",0.131976024682486
"36","Duout10","Bin10",0.00567702420617421
"37","Win0","Bin10",0.134848319648607
"38","Win10","Bin10",0.00159651422254515
"39","Wout0","Bin10",0.410912519763988
"40","Wout10","Bin10",0.386350285232651
"41","Bin0","Bout0",0.515540184670737
"42","Bin10","Bout0",0.539859835698464
"43","Bout0","Bout0",0
"44","Bout10","Bout0",0.105512144261564
"45","Cin0","Bout0",0.00900509927308235
"46","Cin10","Bout0",0.539754025746672
"47","Cout0","Bout0",0.521245641819354
"48","Cout10","Bout0",0.539428309601456
"49","Doin0","Bout0",0.608978236690235
"50","Doin10","Bout0",0.541821843557263
"51","Doout0","Bout0",0.55393065975083
"52","Doout10","Bout0",0.543859511207716
"53","Duin0","Bout0",0.548066526904927
"54","Duin10","Bout0",0.540748415859441
"55","Duout0","Bout0",0.555083559013833
"56","Duout10","Bout0",0.542388430685807
"57","Win0","Bout0",0.557771131713942
"58","Win10","Bout0",0.539385297642272
"59","Wout0","Bout0",0.145346964047386
"60","Wout10","Bout0",0.109248692034973
"61","Bin0","Bout10",0.482472081181807
"62","Bin10","Bout10",0.406784524171305
"63","Bout0","Bout10",0.105512144261564
"64","Bout10","Bout10",0
"65","Cin0","Bout10",0.0965988281074361
"66","Cin10","Bout10",0.404776078329928
"67","Cout0","Bout10",0.48300863620385
"68","Cout10","Bout10",0.404865126947973
"69","Doin0","Bout10",0.560445048772713
"70","Doin10","Bout10",0.408325423185307
"71","Doout0","Bout10",0.514327298476085
"72","Doout10","Bout10",0.412801608875006
"73","Duin0","Bout10",0.50979141947586
"74","Duin10","Bout10",0.410438107512481
"75","Duout0","Bout10",0.515660175698717
"76","Duout10","Bout10",0.411708928666382
"77","Win0","Bout10",0.517909204435119
"78","Win10","Bout10",0.408046299957848
"79","Wout0","Bout10",0.15964246232031
"80","Wout10","Bout10",0.0149235160748948
"81","Bin0","Cin0",0.521473249382784
"82","Bin10","Cin0",0.542451788653357
"83","Bout0","Cin0",0.00900509927308235
"84","Bout10","Cin0",0.0965988281074361
"85","Cin0","Cin0",0
"86","Cin10","Cin0",0.542356309857335
"87","Cout0","Cin0",0.524235662269126
"88","Cout10","Cin0",0.542028649954363
"89","Doin0","Cin0",0.61406906462865
"90","Doin10","Cin0",0.544397489158255
"91","Doout0","Cin0",0.559592425050106
"92","Doout10","Cin0",0.549159747128988
"93","Duin0","Cin0",0.553719418165404
"94","Duin10","Cin0",0.546069187765424
"95","Duout0","Cin0",0.560674347951006
"96","Duout10","Cin0",0.547697262004816
"97","Win0","Cin0",0.563337389106116
"98","Win10","Cin0",0.543107585732519
"99","Wout0","Cin0",0.153291408745538
"100","Wout10","Cin0",0.101510693220674
"101","Bin0","Cin10",0.102681588594606
"102","Bin10","Cin10",0.00783243525136967
"103","Bout0","Cin10",0.539754025746672
"104","Bout10","Cin10",0.404776078329928
"105","Cin0","Cin10",0.542356309857335
"106","Cin10","Cin10",0
"107","Cout0","Cin10",0.0955501710001454
"108","Cout10","Cin10",0.0037205398088332
"109","Doin0","Cin10",0.196651711478719
"110","Doin10","Cin10",0.0067719132098041
"111","Doout0","Cin10",0.145518724039698
"112","Doout10","Cin10",0.0126070638805382
"113","Duin0","Cin10",0.133900557142416
"114","Duin10","Cin10",0.0133919835024245
"115","Duout0","Cin10",0.139141675681251
"116","Duout10","Cin10",0.0114033817496534
"117","Win0","Cin10",0.142047839279288
"118","Win10","Cin10",0.00944696911216159
"119","Wout0","Cin10",0.418252228045833
"120","Wout10","Cin10",0.39196982281197
"121","Bin0","Cout0",0.024582868674975
"122","Bin10","Cout0",0.0964569365234298
"123","Bout0","Cout0",0.521245641819354
"124","Bout10","Cout0",0.48300863620385
"125","Cin0","Cout0",0.524235662269126
"126","Cin10","Cout0",0.0955501710001454
"127","Cout0","Cout0",0
"128","Cout10","Cout0",0.0932397062938763
"129","Doin0","Cout0",0.102858269738788
"130","Doin10","Cout0",0.0932031885724451
"131","Doout0","Cout0",0.0735425491497113
"132","Doout10","Cout0",0.102436549554457
"133","Duin0","Cout0",0.0562612147778098
"134","Duin10","Cout0",0.10288339188145
"135","Duout0","Cout0",0.0494612835830444
"136","Duout10","Cout0",0.0984849001027015
"137","Win0","Cout0",0.0500511493778876
"138","Win10","Cout0",0.0983401778999187
"139","Wout0","Cout0",0.387047612411785
"140","Wout10","Cout0",0.46512801231695
"141","Bin0","Cout10",0.0983089281791455
"142","Bin10","Cout10",0.00410600317253116
"143","Bout0","Cout10",0.539428309601456
"144","Bout10","Cout10",0.404865126947973
"145","Cin0","Cout10",0.542028649954363
"146","Cin10","Cout10",0.0037205398088332
"147","Cout0","Cout10",0.0932397062938763
"148","Cout10","Cout10",0
"149","Doin0","Cout10",0.193766256468448
"150","Doin10","Cout10",0.00493230640946677
"151","Doout0","Cout10",0.146402154590299
"152","Doout10","Cout10",0.0104010826283803
"153","Duin0","Cout10",0.129281494135864
"154","Duin10","Cout10",0.00963406600239809
"155","Duout0","Cout10",0.136606602111555
"156","Duout10","Cout10",0.00954530010970669
"157","Win0","Cout10",0.139496301311404
"158","Win10","Cout10",0.00571073778857525
"159","Wout0","Cout10",0.414532175610837
"160","Wout10","Cout10",0.388938191758916
"161","Bin0","Doin0",0.104387496935399
"162","Bin10","Doin0",0.189726581425481
"163","Bout0","Doin0",0.608978236690235
"164","Bout10","Doin0",0.560445048772713
"165","Cin0","Doin0",0.61406906462865
"166","Cin10","Doin0",0.196651711478719
"167","Cout0","Doin0",0.102858269738788
"168","Cout10","Doin0",0.193766256468448
"169","Doin0","Doin0",0
"170","Doin10","Doin0",0.188286813897678
"171","Doout0","Doin0",0.0706792004961204
"172","Doout10","Doin0",0.182803603340116
"173","Duin0","Doin0",0.0701939217065677
"174","Duin10","Doin0",0.186081394602004
"175","Duout0","Doin0",0.0624970400956906
"176","Duout10","Doin0",0.18424800750456
"177","Win0","Doin0",0.0596955436519583
"178","Win10","Doin0",0.188495897193364
"179","Wout0","Doin0",0.425349861456582
"180","Wout10","Doin0",0.534523581391852
"181","Bin0","Doin10",0.0976123018394474
"182","Bin10","Doin10",0.00351542341020722
"183","Bout0","Doin10",0.541821843557263
"184","Bout10","Doin10",0.408325423185307
"185","Cin0","Doin10",0.544397489158255
"186","Cin10","Doin10",0.0067719132098041
"187","Cout0","Doin10",0.0932031885724451
"188","Cout10","Doin10",0.00493230640946677
"189","Doin0","Doin10",0.188286813897678
"190","Doin10","Doin10",0
"191","Doout0","Doin10",0.149505568759583
"192","Doout10","Doin10",0.00804094277330523
"193","Duin0","Doin10",0.128620413584678
"194","Duin10","Doin10",0.00884373949354624
"195","Duout0","Doin10",0.131302291973446
"196","Duout10","Doin10",0.00463639034151669
"197","Win0","Doin10",0.134184361000428
"198","Win10","Doin10",0.00491588929589155
"199","Wout0","Doin10",0.414444887706316
"200","Wout10","Doin10",0.388839829378691
"201","Bin0","Doout0",0.0592648547590695
"202","Bin10","Doout0",0.147929947222006
"203","Bout0","Doout0",0.55393065975083
"204","Bout10","Doout0",0.514327298476085
"205","Cin0","Doout0",0.559592425050106
"206","Cin10","Doout0",0.145518724039698
"207","Cout0","Doout0",0.0735425491497113
"208","Cout10","Doout0",0.146402154590299
"209","Doin0","Doout0",0.0706792004961204
"210","Doin10","Doout0",0.149505568759583
"211","Doout0","Doout0",0
"212","Doout10","Doout0",0.142226270192519
"213","Duin0","Doout0",0.0278293126111789
"214","Duin10","Doout0",0.142940494373971
"215","Duout0","Doout0",0.0352936170492989
"216","Duout10","Doout0",0.147375005456782
"217","Win0","Doout0",0.0350315979842315
"218","Win10","Doout0",0.146594492275238
"219","Wout0","Doout0",0.387428498543609
"220","Wout10","Doout0",0.501285886483377
"221","Bin0","Doout10",0.0894429302468755
"222","Bin10","Doout10",0.0079649367332411
"223","Bout0","Doout10",0.543859511207716
"224","Bout10","Doout10",0.412801608875006
"225","Cin0","Doout10",0.549159747128988
"226","Cin10","Doout10",0.0126070638805382
"227","Cout0","Doout10",0.102436549554457
"228","Cout10","Doout10",0.0104010826283803
"229","Doin0","Doout10",0.182803603340116
"230","Doin10","Doout10",0.00804094277330523
"231","Doout0","Doout10",0.142226270192519
"232","Doout10","Doout10",0
"233","Duin0","Doout10",0.120268498018742
"234","Duin10","Doout10",0.00418647440712561
"235","Duout0","Doout10",0.125817120168346
"236","Duout10","Doout10",0.00485212143954398
"237","Win0","Doout10",0.128700109326999
"238","Win10","Doout10",0.00668867554231702
"239","Wout0","Doout10",0.409861991812056
"240","Wout10","Doout10",0.390481879276853
"241","Bin0","Duin0",0.034445973545784
"242","Bin10","Duin0",0.124653114578829
"243","Bout0","Duin0",0.548066526904927
"244","Bout10","Duin0",0.50979141947586
"245","Cin0","Duin0",0.553719418165404
"246","Cin10","Duin0",0.133900557142416
"247","Cout0","Duin0",0.0562612147778098
"248","Cout10","Duin0",0.129281494135864
"249","Doin0","Duin0",0.0701939217065677
"250","Doin10","Duin0",0.128620413584678
"251","Doout0","Duin0",0.0278293126111789
"252","Doout10","Duin0",0.120268498018742
"253","Duin0","Duin0",0
"254","Duin10","Duin0",0.120281046541787
"255","Duout0","Duin0",0.00773079593495735
"256","Duout10","Duin0",0.123747920429015
"257","Win0","Duin0",0.0105425541430486
"258","Win10","Duin0",0.123128786632019
"259","Wout0","Duin0",0.368021878188723
"260","Wout10","Duin0",0.484905660999899
"261","Bin0","Duin10",0.0880570849459907
"262","Bin10","Duin10",0.00550225739358993
"263","Bout0","Duin10",0.540748415859441
"264","Bout10","Duin10",0.410438107512481
"265","Cin0","Duin10",0.546069187765424
"266","Cin10","Duin10",0.0133919835024245
"267","Cout0","Duin10",0.10288339188145
"268","Cout10","Duin10",0.00963406600239809
"269","Doin0","Duin10",0.186081394602004
