,beta_Methyl_D_Glucoside,DGalactonic_Acid_gamma_Lactone,LArginine,Pyruvic_Acid_Methyl_Ester,DXylose,DGalacturonic_Acid,LAsparagine,Tween_40,i_Erythritol,X2_Hydroxy_Benzoic_Acid,L_Phenylalanine,Tween_80,DMannitol,X4Hydroxy_Benzoic_Acid,LSerine,alpha_Cyclodextrin,Nacetyl_DGlucosamine,gamma_Hydroxybutyric_Acid,L_Threonine,Glycogen,DGlucosaminic_Acid,Itaconic_Acid,Glycyl_LGlutamic_Acid,DCellobiose,Glucos_1Phosphate,alpha_Ketobutyric_Acid,Phenylethyl_amine,alpha_DLactose,DL_alpha_Glycerol_Phosphate,DMalic_Acid,Putrescine
Bin0,-0.0032,0.013566667,-0.001766667,0.1067,0.0318,0.007366667,0.0146,0.1766,0.089233333,0.179266667,0.0111,0.0431,0.076,0.123466667,0.091666667,0.019133333,0.040466667,0.056833333,0.180433333,0.025066667,0.024,0.108533333,0.0598,0.295866667,0.081433333,0.028766667,0.055966667,0.080666667,0.172133333,0.161366667,0.0012
Bin10,-0.130733333,-0.053066667,-0.118833333,-0.131133333,-0.088966667,0.104066667,0.108033333,0.000466667,-0.132366667,0.043933333,-0.0559,-0.034433333,-0.087433333,-0.13,-0.121333333,-0.0489,-0.132833333,-0.127833333,0.0493,-0.124166667,-0.124633333,0.345066667,0.131933333,0.044033333,-0.040566667,-0.018133333,-0.1301,-0.025666667,-0.089766667,-0.095533333,-0.1263
Bout0,-0.002566667,-0.008133333,0.291766667,0.048266667,0.0599,-0.0015,0.126,0.228833333,0.1422,0.195533333,-0.007633333,0.148033333,0.001,-0.000333333,0.077333333,0.049833333,0.0611,0.3442,0.004066667,0.007733333,0.036033333,0.1862,0.1091,-0.0052,0.170933333,0.0157,0.060366667,0.007166667,0.013566667,0.0186,0.122866667
Bout10,-0.016966667,-0.0097,-0.017833333,-0.015633333,0.1479,-0.014466667,-0.0112,0.1594,-0.0091,0.139333333,-0.017,0.000466667,-0.0141,-0.015233333,-0.017233333,0.0369,0.0119,0.033133333,-0.0072,-0.008733333,0.0047,0.013133333,-0.014466667,-0.016133333,-0.0143,-0.012766667,-0.015233333,-0.015366667,-0.013866667,0.015866667,-0.0139
Cin0,-0.046133333,-0.0457,-0.0047,0.100033333,-0.010066667,-0.040966667,-0.0433,0.3518,-0.042,0.171033333,-0.008966667,-0.0348,-0.013533333,-0.011166667,-0.0286,0.0848,0.227433333,-0.030733333,-0.023966667,0.031033333,0.120066667,0.102,-0.027066667,0.070233333,0.02,-0.008633333,0.069833333,0.0409,0.0814,0.149866667,0.009333333
Cin10,0.021766667,-0.062666667,0.203466667,-0.0612,-0.009566667,-0.061333333,0.1341,0.211333333,-0.061,0.242033333,-0.049933333,0.057366667,0.3295,-0.017633333,-0.023833333,0.074733333,0.125433333,-0.003766667,0.262233333,-0.0522,-0.056033333,0.052633333,0.0654,0.0751,-0.0322,-0.051633333,0.105566667,-0.062466667,-0.0611,0.595233333,-0.063
Cout0,0.005466667,0.038066667,0.0078,0.038466667,0.033433333,0.002333333,0.050433333,0.2227,0.019466667,0.3805,0.002266667,0.0374,0.065433333,0.1869,0.006166667,0.0727,0.1711,0.043,0.0105,0.017466667,0.0098,0.0408,0.027433333,0.047233333,0.0324,0.019033333,0.002766667,0.170933333,0.032066667,0.0901,0.001033333
Cout10,-0.011866667,0.0017,0.017533333,-0.012866667,0.020066667,0.0526,0.0292,0.1725,0.002266667,0.1897,0.003166667,0.212766667,0.1892,0.0252,-0.010033333,0.0774,0.280233333,0.028533333,-0.0107,0.0092,0.1597,0.056833333,0.5015,0.034133333,-0.0089,0.065233333,-0.011133333,0.0184,-0.0117,0.2341,-0.0104
Doin0,0.1428,0.1549,0.1112,0.332633333,-0.054533333,0.298933333,0.065733333,0.391866667,-0.102233333,0.023166667,0.0659,0.2151,0.615133333,-0.072166667,0.116766667,0.0635,0.457233333,-0.086233333,0.098866667,0.2076,0.2527,0.198033333,0.164733333,0.206566667,0.055766667,-0.074633333,0.0379,0.107133333,0.221466667,0.165666667,-0.018933333
Doin10,0.069266667,0.055733333,0.041033333,0.140166667,0.031833333,0.003666667,0.000166667,0.275466667,0.003433333,0.148133333,0.027033333,0.011333333,0.083266667,0.107533333,0.0057,0.009266667,0.071266667,0.006566667,8.00E-04,0.0106,0.0054,0.012266667,0.036433333,0.003233333,0.005766667,0.012166667,0.025766667,0.003233333,0.0115,0.021933333,0.007966667
