,AEGEAN__169_marine_group,Ambiguous_taxa,Ascidiaceihabitans,Candidatus_Actinomarina,Candidatus_Nitrosopelagicus,Candidatus_Nitrosopumilus,CL500__3,Coxiella,Fluviicola,Formosa,Halocynthiibacter,Hellea,Ketogulonicigenium,Lewinella,Luminiphilus,marine_metagenome,NS3a_marine_group,NS4_marine_group,NS5_marine_group,OM43_clade,OM60.NOR5._clade,Persicirhabdus,Planctomyces,Polynucleobacter,Prochlorococcus,Profundibacterium,Pseudohongiella,Roseibacillus,Rubripirellula,Synechococcus,Ulvibacter,uncultured,uncultured_actinobacterium,uncultured_alpha_proteobacterium,uncultured_bacterium,uncultured_gamma_proteobacterium,uncultured_marine_bacterium,uncultured_organism,Site,Depth
L1_0,0,0.096705708,0.02785199,0,0,0,0,0.01090096,0.092860584,0.049484321,0.235751434,0.03899162,0,0,0,0,0.056435702,0.025044786,0.214158303,0,0.024998559,0,0,0,0.179799689,0,0,0,0,0.077287452,0.026770356,0.427779806,0,0.02708888,0.013591145,0,0.011069077,0,L1,0
L1_10,0,0.117896639,0,0,0,0,0.033644514,0,0.035093906,0.077002006,0.10011346,0.031120814,0,0,0.022368056,0,0.012216081,0.031465852,0.147212621,0.028537226,0.043511352,0.021212681,0,0,0.083669138,0,0.011147754,0.044412607,0.010629448,0.033043719,0,0.464316327,0,0.075813158,0.075905822,0,0.018486692,0,L1,10
L2_0,0,0.111009921,0.010566986,0,0,0,0.011598118,0.010806279,0.083120502,0.078974172,0.124929706,0.032641498,0,0,0.013507849,0,0.035853123,0.029240627,0.204782364,0.026217375,0.033853167,0.013507849,0,0,0.089407314,0,0,0.044380621,0,0.049593528,0.023655175,0.424952951,0,0.073469955,0.052380193,0,0.015361698,0,L2,0
L2_10,0,0.096567856,0,0,0,0,0.013116889,0.01119142,0.07335421,0.091830726,0.072275725,0.037305568,0,0,0.025936175,0,0.02743422,0.045833872,0.229076919,0.027330886,0.057760377,0,0,0,0.073173542,0,0,0.070926708,0,0.041503053,0.02407902,0.454883482,0,0.037523965,0.038644395,0,0,0,L2,10
L3_0,0,0.151255224,0.023315698,0.0351837,0,0,0.02721313,0.047115572,0.075073524,0.034393524,0.142711663,0,0,0.014232876,0,0,0.019757479,0.014232876,0.147897599,0.053064672,0.02164788,0.043120829,0,0,0.142130406,0.016035467,0,0,0,0.044750469,0.0112833,0.253031868,0,0.115323114,0.103570249,0,0,0,L3,0
L3_10,0.014736153,0.207589334,0,0.049931322,0.116059582,0.110134484,0.012854548,0.01308742,0,0,0,0,0,0,0,0.013473054,0,0.024686112,0.152760041,0.013940868,0.034949464,0.017185972,0.017605142,0,0,0,0,0.060214342,0,0,0,0.105779261,0,0.08514429,0.352550952,0.026101974,0,0,L3,10
L4_0,0,0.161565582,0.032961413,0.010069138,0,0,0.035265185,0.056655894,0.052548974,0.011576011,0.111622501,0,0,0.019339842,0,0,0,0,0.091349024,0.061773067,0.026340552,0.061507361,0,0,0.240513618,0.034429957,0,0,0,0.063015561,0,0.181723494,0,0.095739836,0.168832519,0,0.016225012,0,L4,0
L5_0,0,0.177850401,0.02227746,0,0,0,0.045924816,0.054197868,0.071151772,0.010599381,0.086248945,0,0,0.028702748,0,0,0.010552481,0,0.095107524,0.054015749,0.033078802,0.05133235,0,0.022677039,0.205371356,0.026122373,0.01102148,0,0,0.055750361,0,0.215375875,0,0.100378016,0.104393403,0,0.02208986,0,L5,0
L5_10,0,0.22135953,0,0.062063505,0.095140536,0.079272246,0.036445544,0.027293534,0,0,0.019432478,0,0,0,0,0.013519223,0,0.014890429,0.134865232,0.021660059,0.037645526,0.033392117,0.013941698,0,0.039399146,0,0,0.090641585,0,0,0,0.097419007,0,0.054893177,0.318700154,0,0,0.010468009,L5,10
L6_0,0,0.182419707,0.02270095,0.012822293,0,0,0.024950238,0.047926148,0.054418271,0,0.087505947,0,0,0.03024365,0,0,0,0,0.088649104,0.061679373,0.027044438,0.025922326,0,0,0.170205172,0.021108179,0.01663192,0,0,0.042553126,0,0.17835141,0,0.246079777,0.143815894,0,0.043085476,0,L6,0
L7_0,0,0.160246411,0.020313515,0,0,0,0.032740879,0.045280466,0.052911499,0.010110379,0.097347185,0,0,0.028753522,0,0,0.01646415,0,0.09107971,0.054558807,0.031116634,0.033021515,0,0.01253508,0.244266713,0.029326473,0.010574158,0,0,0.055008187,0,0.262420536,0,0.097839268,0.075272582,0,0.025646972,0,L7,0
L8_0,0,0.073692002,0,0,0,0,0,0.040246103,0.01646852,0.013692927,0.012906509,0,0,0,0,0,0,0,0.067539437,0.017625017,0,0.03710043,0.010917334,0,0.149650738,0.02872739,0,0.028449831,0,0.043993154,0,0.096683166,0,0.021094509,0.100106398,0,0,0,L8,0
